2653;data;/ietf-schc:schc/rule/max-interleaved-frames;;;;;;;;;;;;;;;
2654;data;/ietf-schc:schc/rule/inactivity-timer;;;;;;;;;;;;;;;
2655;data;/ietf-schc:schc/rule/inactivity-timer/ticks-duration;;;;;;;;;;;;;;;
2656;data;/ietf-schc:schc/rule/inactivity-timer/ticks-numbers;;;;;;;;;;;;;;;
2657;data;/ietf-schc:schc/rule/retransmission-timer;;;;;;;;;;;;;;;
2658;data;/ietf-schc:schc/rule/retransmission-timer/ticks-duration;;;;;;;;;;;;;;;
2659;data;/ietf-schc:schc/rule/retransmission-timer/ticks-numbers;;;;;;;;;;;;;;;
2660;data;/ietf-schc:schc/rule/max-ack-requests;;;;;;;;;;;;;;;
2661;data;/ietf-schc:schc/rule/tile-size;;;;;;;;;;;;;;;
2662;data;/ietf-schc:schc/rule/tile-in-all-1;;;;;;;;;;;;;;;
2663;data;/ietf-schc:schc/rule/ack-behavior;;;;;;;;;;;;;;;
2664;data;/ietf-schc:schc/rule/bitmap-format;RFC 9441;;;;;;;;;;;;;;
2665;data;/ietf-schc:schc/rule/last-bitmap-compression;RFC 9441;;;;;;;;;;;;;;
2666;;;;;;;;;;;;;;;;;
2667;;;;;;;;;;;;;;;;;
2668;;;;;;;;;;;;;;;;;
2669;;;;;;;;;;;;;;;;;
2670;;;;;;;;;;;;;;;;;
2671;;;;;;;;;;;;;;;;;
2672;;;;;;;;;;;;;;;;;
2673;;;;;;;;;;;;;;;;;
2674;;;;;;;;;;;;;;;;;
2675;;;;;;;;;;;;;;;;;
2676;;;;;;;;;;;;;;;;;
2677;;;;;;;;;;;;;;;;;
2678;;;;;;;;;;;;;;;;;
2679;;;;;;;;;;;;;;;;;
2680;;;;;;;;;;;;;;;;;
2681;;;;;;;;;;;;;;;;;
2682;;;;;;;;;;;;;;;;;
2683;;;;;;;;;;;;;;;;;
2684;;;;;;;;;;;;;;;;;
2685;;;;;;;;;;;;;;;;;
2686;;;;;;;;;;;;;;;;;
2687;;;;;;;;;;;;;;;;;
2688;;;;;;;;;;;;;;;;;
2689;;;;;;;;;;;;;;;;;
2690;;;;;;;;;;;;;;;;;
2691;;;;;;;;;;;;;;;;;
2692;;;;;;;;;;;;;;;;;
2693;;;;;;;;;;;;;;;;;
2694;;;;;;;;;;;;;;;;;
2695;;;;;;;;;;;;;;;;;
2696;;;;;;;;;;;;;;;;;
2697;;;;;;;;;;;;;;;;;
2698;;;;;;;;;;;;;;;;;
2699;;;;;;;;;;;;;;;;;
2700;;;;;;;;;;;;;;;;;
2701;;;;;;;;;;;;;;;;;
2702;;;;;;;;;;;;;;;;;
2703;;;;;;;;;;;;;;;;;
2704;;;;;;;;;;;;;;;;;
2705;;;;;;;;;;;;;;;;;
2706;;;;;;;;;;;;;;;;;
2707;;;;;;;;;;;;;;;;;
2708;;;;;;;;;;;;;;;;;
2709;;;;;;;;;;;;;;;;;
2710;;;;;;;;;;;;;;;;;
2711;;;;;;;;;;;;;;;;;
2712;;;;;;;;;;;;;;;;;
2713;;;;;;;;;;;;;;;;;
2714;;;;;;;;;;;;;;;;;
2715;;;;;;;;;;;;;;;;;
2716;;;;;;;;;;;;;;;;;
2717;;;;;;;;;;;;;;;;;
2718;;;;;;;;;;;;;;;;;
2719;;;;;;;;;;;;;;;;;
2720;;;;;;;;;;;;;;;;;
2721;;;;;;;;;;;;;;;;;
2722;;;;;;;;;;;;;;;;;
2723;;;;;;;;;;;;;;;;;
2724;;;;;;;;;;;;;;;;;
2725;;;;;;;;;;;;;;;;;
2726;;;;;;;;;;;;;;;;;
2727;;;;;;;;;;;;;;;;;
2728;;;;;;;;;;;;;;;;;
2729;;;;;;;;;;;;;;;;;
2730;;;;;;;;;;;;;;;;;
2731;;;;;;;;;;;;;;;;;
2732;;;;;;;;;;;;;;;;;
2733;;;;;;;;;;;;;;;;;
2734;;;;;;;;;;;;;;;;;
2735;;;;;;;;;;;;;;;;;
2736;;;;;;;;;;;;;;;;;
2737;;;;;;;;;;;;;;;;;
2738;;;;;;;;;;;;;;;;;
2739;;;;;;;;;;;;;;;;;
2740;;;;;;;;;;;;;;;;;
2741;;;;;;;;;;;;;;;;;
2742;;;;;;;;;;;;;;;;;
2743;;;;;;;;;;;;;;;;;
2744;;;;;;;;;;;;;;;;;
2745;;;;;;;;;;;;;;;;;
2746;;;;;;;;;;;;;;;;;
2747;;;;;;;;;;;;;;;;;
2748;;;;;;;;;;;;;;;;;
2749;;;;;;;;;;;;;;;;;
2750;identity;fragmentation-mode-no-ack;;;;;;;;;;;;;;;
2751;identity;fragmentation-mode-ack-always;;;;;;;;;;;;;;;
2752;identity;fragmentation-mode-ack-on-error;;;;;;;;;;;;;;;
2753;;;;;;;;;;;;;;;;;
